canal_itc,dispositivo_itc,transaccion_itc,respuesta_itc,descripcion_trx_banco,descripcion_respuesta_banco
APP,APP,438,30,Transferencia De Fondos Desde Cuenta Corriente,Disponible Insuficiente En Cuenta A Debitar
SVP,BLP,1538,31,Transferencias Cuenta Nequi,Identificacion Ingresada No Corresponde Al Titular Del Encargo
APP,APP,325,0,Simular Inversion Virtual,Transacción Exitosa
APP,APP,6012,999,Transferencia Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Nequi Pago Qr,No Exitosa
APP,APP,640,41,Avance de Tarjeta de crédito por APP,Sistema malo (CANAL)
APP,APP,6010,55,Transferencias Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Bancolombia (Ahorros/Corriente) Pago Qr,La cuenta origen y destino no pueden ser iguales. Por favor verifica e intenta nuevamente.
APP,APP,539,441,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Fid: Error Horario Transferencias Transf A Cuentas
APP,APP,2021,55,Transferencia de QR,La cuenta no tiene fondos suficientes para realizar esta transacción.
SVP,BLP,539,535,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Numero De Dias Mayor Al Permitido
APP,APP,538,690,Transferencia De Fondos Desde Cuenta De Ahorros,Transaccion No Permitida
SVP,PSE,522,705,Compra Pse Desde Cuenta De Ahorros,Supera Valor Maximo Personalizado
APP,APP,6010,705,Transferencias Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Bancolombia (Ahorros/Corriente) Pago Qr,No Exitosa
MOV,ALM,531,112,Pago con Validación de Base de Datos App ALM,La Cuenta De Ahorro A La Mano No Posee Un Pin
APP,APP,538,0,Transferencia De Fondos Desde Cuenta De Ahorros,Transacción Exitosa
APP,APP,529,57,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Tarjeta De Credito No Existe
APP,APP,531,0,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Transacción Exitosa
APP,APP,549,70,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Timeout
APP,APP,538,4,Transferencia De Fondos Desde Cuenta De Ahorros,LÍmite De Dúbitos Diarios Excedido - Gen_Topetransf_Alm
SVP,PSE,422,705,Compra Pse Desde Cuenta Corriente,Supera Valor Maximo Personalizado
APP,APP,538,28,Transferencia De Fondos Desde Cuenta De Ahorros,Cuenta Destino No Existe
APP,APP,205,0,Transferencia de bolsillo a cuenta,Transacción Exitosa
MOV,ALM,558,500,Envio de Dinero,"TRANSACCION NO REALIZADA, POR FAVOR INTENTE MAS TARDE"
MOV,MOV,558,31,Transferencia Comunidad Banca Móvil,Cuenta Destino Tiene Bloqueos
SVP,BLP,429,636,Pago De Tarjeta De Credito Desde Cuenta Corriente,La Cuenta No Tiene Saldo Suficiente Para La Transaccion - Dep¾Sitos
APP,APP,1538,1,Transferencias Cuenta Nequi,Documento De Identidad No Valido
APP,APP,346,321,Pago De Prestamos,Pago No Realizado
SVP,BLP,449,0,Transferencia Desde Inversion Fiduciaria A Cuenta Corriente,Transacción Exitosa
SVP,BLP,640,941,Avance Sucursal Virtual,Transacción No Permitida
SVP,PSE,422,0,Compra Pse Desde Cuenta Corriente,Transacción Exitosa
SVP,BLP,244,0,Abono a cuenta transferencias internacionales,Transacción Exitosa
SVP,BLP,438,705,Transferencia De Fondos Desde Cuenta Corriente,Supera Valor Maximo Personalizado
APP,APP,638,646,Transferencia A Otros Bancos,Fondos Insuficientes En La Cuenta A Debitar
APP,APP,6010,28,Transferencias Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Bancolombia (Ahorros/Corriente) Pago Qr,"La cuenta destino no existe, por favor verifícala e intenta nuevamente."
MOV,MOV,202,602,Recarga De Celular,No Posee Cuenta Cats Activa
APP,APP,529,705,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Supera Valor Maximo Personalizado
APP,APP,1638,705,Transferencia a Nequi sin inscripción ,Supera Valor Maximo Personalizado
SVP,BLP,538,34,Transferencia De Fondos Desde Cuenta De Ahorros,Valor Por Encima De Tope Diario De Transferencia
APP,APP,640,40,Avance de Tarjeta de crédito por APP,Valor De La Transaccion Invalido
APP,APP,549,373,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Fid: Fecha De Operaci¾N No Vßlida Para Retiro
MOV,MOV,558,52,Transferencia Comunidad Banca Móvil,Clave No Valida
APP,APP,429,0,Pago De Tarjeta De Credito Desde Cuenta Corriente,Transacción Exitosa
APP,APP,6012,150,Transferencia Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Nequi Pago Qr,No Exitosa
APP,APP,438,706,Transferencia De Fondos Desde Cuenta Corriente,Supera Numero De Operaciones Personalizadas
